Product_Name,Product_Link,Product_Price,Product_Rating,Reviews,Product_Image,ASIN
"Linkind Matter Smart Plug, Work with Apple Home, Alexa, Siri, Google Home | Smart Outlet Timer & Schedule, Smart Home Automation, 15A/1800W, APP Remote Control, ETL Certified, 2.4G Wi-Fi Only, 4 Pack",https://www.amazon.com/Linkind-SmartThings-Automation-Control-Schedule/dp/B0C36WXGP1/ref=sr_1_1?dib=eyJ2IjoiMSJ9.iRN2KUcEfkJl010XhUsHG4nXELp0QtiRZFd-W6tyFf9tSXIhVBKDAhQYT50fE2N8L6uXWTwz_0q4lL_jjHn7ZxsI5XTT_ybzbyyVXP_CcIRLEUan2CBMrKqEWLtQmK59E4d6tFPrODKbsP_wL4jZ2_JLcifJH0TdFFTLbstCMBxLh6SCKz3nnFxIYxhAuiIHaxkuMx1l3pKhasECpYypsPEfOxaGE4bOSGNZXWpcggkO07XAzVofxAdhvb__ttDlFuoO_kDpQ8o2m4ilyCcnms_oKG4shZit9AglYnQLBlg.dKzCue5vLD4NOdmSw_BnY9YWiSlT0oYRbc0lByKuFbg&dib_tag=se&keywords=smart+home+devices&qid=1786520557&sr=8-1,"9,157",NA,NA,https://m.media-amazon.com/images/I/61uRO-SLa+L._AC_UL320_.jpg,B0C36WXGP1
"Govee RGBIC Floor Lamp Basic, 1000lm LED Corner Lamp, Black | Compatible with Alexa and Matter, Modern Floor Lamp with Music Sync and 16 Million DIY Colors, Standing Lamp for Bedroom",https://www.amazon.com/Govee-Modern-Assistant-Million-Bedroom/dp/B099WTN2TR/ref=sr_1_2?dib=eyJ2IjoiMSJ9.iRN2KUcEfkJl010XhUsHG4nXELp0QtiRZFd-W6tyFf9tSXIhVBKDAhQYT50fE2N8L6uXWTwz_0q4lL_jjHn7ZxsI5XTT_ybzbyyVXP_CcIRLEUan2CBMrKqEWLtQmK59E4d6tFPrODKbsP_wL4jZ2_JLcifJH0TdFFTLbstCMBxLh6SCKz3nnFxIYxhAuiIHaxkuMx1l3pKhasECpYypsPEfOxaGE4bOSGNZXWpcggkO07XAzVofxAdhvb__ttDlFuoO_kDpQ8o2m4ilyCcnms_oKG4shZit9AglYnQLBlg.dKzCue5vLD4NOdmSw_BnY9YWiSlT0oYRbc0lByKuFbg&dib_tag=se&keywords=smart+home+devices&qid=1786520557&sr=8-2,"18,039",NA,NA,https://m.media-amazon.com/images/I/61SdRNLwZzL._AC_UL320_.jpg,B099WTN2TR
"Govee Smart Light Bulbs, A19 Color Changing Light Bulb, 800 LM, E26 Base | Works with Matter, Alexa and Google Assistant, 16 Million Colors RGBWW, WiFi & Bluetooth LED Light Bulbs, Music Sync, 4 Pack",https://www.amazon.com/Govee-Changing-Dynamic-Bluetooth-Assistant/dp/B09B7NQT2K/ref=sr_1_3?dib=eyJ2IjoiMSJ9.iRN2KUcEfkJl010XhUsHG4nXELp0QtiRZFd-W6tyFf9tSXIhVBKDAhQYT50fE2N8L6uXWTwz_0q4lL_jjHn7ZxsI5XTT_ybzbyyVXP_CcIRLEUan2CBMrKqEWLtQmK59E4d6tFPrODKbsP_wL4jZ2_JLcifJH0TdFFTLbstCMBxLh6SCKz3nnFxIYxhAuiIHaxkuMx1l3pKhasECpYypsPEfOxaGE4bOSGNZXWpcggkO07XAzVofxAdhvb__ttDlFuoO_kDpQ8o2m4ilyCcnms_oKG4shZit9AglYnQLBlg.dKzCue5vLD4NOdmSw_BnY9YWiSlT0oYRbc0lByKuFbg&dib_tag=se&keywords=smart+home+devices&qid=1786520557&sr=8-3,"8,046",NA,NA,https://m.media-amazon.com/images/I/61m82Uwqt6L._AC_UL320_.jpg,B09B7NQT2K
"Kasa Smart Plug HS103P4, Wi-Fi Outlet Works with Alexa, 4-Pack | Works with Echo, Google Home, No Hub Required, 15 Amp, UL Certified, Remote Control",https://www.amazon.com/TP-Link-Kasa-Smart-Wifi-Plug/dp/B07RCNB2L3/ref=sr_1_4?dib=eyJ2IjoiMSJ9.iRN2KUcEfkJl010XhUsHG4nXELp0QtiRZFd-W6tyFf9tSXIhVBKDAhQYT50fE2N8L6uXWTwz_0q4lL_jjHn7ZxsI5XTT_ybzbyyVXP_CcIRLEUan2CBMrKqEWLtQmK59E4d6tFPrODKbsP_wL4jZ2_JLcifJH0TdFFTLbstCMBxLh6SCKz3nnFxIYxhAuiIHaxkuMx1l3pKhasECpYypsPEfOxaGE4bOSGNZXWpcggkO07XAzVofxAdhvb__ttDlFuoO_kDpQ8o2m4ilyCcnms_oKG4shZit9AglYnQLBlg.dKzCue5vLD4NOdmSw_BnY9YWiSlT0oYRbc0lByKuFbg&dib_tag=se&keywords=smart+home+devices&qid=1786520557&sr=8-4,NA,NA,NA,https://m.media-amazon.com/images/I/51zoLDBO0wL._AC_UL320_.jpg,B07RCNB2L3
"Outlet Extender with Night Light, Multi Plug Wall Outlet, Surge Protector | Multiple Electrical Outlet Splitter Expander, 4 USB Ports (1 USB C) Wall Charger, Plug Extension Adapter for Home, Dorm, RV",https://www.amazon.com/Extender-Protector-Charging-Electrical-Splitter/dp/B09WTYDVNW/ref=sr_1_5?dib=eyJ2IjoiMSJ9.iRN2KUcEfkJl010XhUsHG4nXELp0QtiRZFd-W6tyFf9tSXIhVBKDAhQYT50fE2N8L6uXWTwz_0q4lL_jjHn7ZxsI5XTT_ybzbyyVXP_CcIRLEUan2CBMrKqEWLtQmK59E4d6tFPrODKbsP_wL4jZ2_JLcifJH0TdFFTLbstCMBxLh6SCKz3nnFxIYxhAuiIHaxkuMx1l3pKhasECpYypsPEfOxaGE4bOSGNZXWpcggkO07XAzVofxAdhvb__ttDlFuoO_kDpQ8o2m4ilyCcnms_oKG4shZit9AglYnQLBlg.dKzCue5vLD4NOdmSw_BnY9YWiSlT0oYRbc0lByKuFbg&dib_tag=se&keywords=smart+home+devices&qid=1786520557&sr=8-5,"3,605",NA,NA,https://m.media-amazon.com/images/I/51IN2UzjteL._AC_UL320_.jpg,B09WTYDVNW
"Etekcity Smart Scale for Body Weight, Body Fat and BMI, FSA Eligible | HSA Eligible, Bathroom Scale with Muscle Mass, Accurate Bluetooth App Sync, LED Display and Tempered Glass",https://www.amazon.com/Etekcity-Bathroom-Weighing-Bluetooth-Electronic/dp/B095YJW56C/ref=sr_1_6?dib=eyJ2IjoiMSJ9.iRN2KUcEfkJl010XhUsHG4nXELp0QtiRZFd-W6tyFf9tSXIhVBKDAhQYT50fE2N8L6uXWTwz_0q4lL_jjHn7ZxsI5XTT_ybzbyyVXP_CcIRLEUan2CBMrKqEWLtQmK59E4d6tFPrODKbsP_wL4jZ2_JLcifJH0TdFFTLbstCMBxLh6SCKz3nnFxIYxhAuiIHaxkuMx1l3pKhasECpYypsPEfOxaGE4bOSGNZXWpcggkO07XAzVofxAdhvb__ttDlFuoO_kDpQ8o2m4ilyCcnms_oKG4shZit9AglYnQLBlg.dKzCue5vLD4NOdmSw_BnY9YWiSlT0oYRbc0lByKuFbg&dib_tag=se&keywords=smart+home+devices&qid=1786520557&sr=8-6,NA,NA,NA,https://m.media-amazon.com/images/I/71XIV9FM8HL._AC_UL320_.jpg,B095YJW56C
"EZVALO Under Cabinet Lighting with Charging Station, Motion Sensor Lights | 6-Pack with Remote, 2000mAh Rechargeable Battery, Wireless, Magnetic, Timer, 3 Color Temps, Kitchen, Closet and More",https://www.amazon.com/EZVALO-Lighting-Charging-Rechargeable-Dimmable/dp/B0D8BKMB2S/ref=sr_1_7?dib=eyJ2IjoiMSJ9.iRN2KUcEfkJl010XhUsHG4nXELp0QtiRZFd-W6tyFf9tSXIhVBKDAhQYT50fE2N8L6uXWTwz_0q4lL_jjHn7ZxsI5XTT_ybzbyyVXP_CcIRLEUan2CBMrKqEWLtQmK59E4d6tFPrODKbsP_wL4jZ2_JLcifJH0TdFFTLbstCMBxLh6SCKz3nnFxIYxhAuiIHaxkuMx1l3pKhasECpYypsPEfOxaGE4bOSGNZXWpcggkO07XAzVofxAdhvb__ttDlFuoO_kDpQ8o2m4ilyCcnms_oKG4shZit9AglYnQLBlg.dKzCue5vLD4NOdmSw_BnY9YWiSlT0oYRbc0lByKuFbg&dib_tag=se&keywords=smart+home+devices&qid=1786520557&sr=8-7,"12,765",NA,NA,https://m.media-amazon.com/images/I/710UrjT5QqL._AC_UL320_.jpg,B0D8BKMB2S
"EIGHTREE Smart Plug WiFi Outlet Works with Alexa & Google Home, 15A, 4-Pack | Smart Home Socket with Remote Control & Timer Function, WiFi Plug for household appliances, No Hub Required, 2.4GHz WiFi Only",https://www.amazon.com/EIGHTREE-Smart-Outlet-Google-4-Pack/dp/B0B62LPR5Z/ref=sr_1_8?dib=eyJ2IjoiMSJ9.iRN2KUcEfkJl010XhUsHG4nXELp0QtiRZFd-W6tyFf9tSXIhVBKDAhQYT50fE2N8L6uXWTwz_0q4lL_jjHn7ZxsI5XTT_ybzbyyVXP_CcIRLEUan2CBMrKqEWLtQmK59E4d6tFPrODKbsP_wL4jZ2_JLcifJH0TdFFTLbstCMBxLh6SCKz3nnFxIYxhAuiIHaxkuMx1l3pKhasECpYypsPEfOxaGE4bOSGNZXWpcggkO07XAzVofxAdhvb__ttDlFuoO_kDpQ8o2m4ilyCcnms_oKG4shZit9AglYnQLBlg.dKzCue5vLD4NOdmSw_BnY9YWiSlT0oYRbc0lByKuFbg&dib_tag=se&keywords=smart+home+devices&qid=1786520557&sr=8-8,"8,324",NA,NA,https://m.media-amazon.com/images/I/61N63ZDrGML._AC_UL320_.jpg,B0B62LPR5Z
"Govee RGBIC Smart Table Lamp 2, Touch Bedside Small Table Lamp (Corded) | LED Desk Lamp Compatible with SmartThings, Matter, Alexa, Nightstand Lamp for Bedroom Living Room Night Light, 64 Scene Modes",https://www.amazon.com/Govee-Bedside-Changing-Bedroom-Dimmable/dp/B0D41XL87F/ref=sr_1_9?dib=eyJ2IjoiMSJ9.iRN2KUcEfkJl010XhUsHG4nXELp0QtiRZFd-W6tyFf9tSXIhVBKDAhQYT50fE2N8L6uXWTwz_0q4lL_jjHn7ZxsI5XTT_ybzbyyVXP_CcIRLEUan2CBMrKqEWLtQmK59E4d6tFPrODKbsP_wL4jZ2_JLcifJH0TdFFTLbstCMBxLh6SCKz3nnFxIYxhAuiIHaxkuMx1l3pKhasECpYypsPEfOxaGE4bOSGNZXWpcggkO07XAzVofxAdhvb__ttDlFuoO_kDpQ8o2m4ilyCcnms_oKG4shZit9AglYnQLBlg.dKzCue5vLD4NOdmSw_BnY9YWiSlT0oYRbc0lByKuFbg&dib_tag=se&keywords=smart+home+devices&qid=1786520557&sr=8-9,"17,762",NA,NA,https://m.media-amazon.com/images/I/618yTEtHltL._AC_UL320_.jpg,B0D41XL87F
"LEVOIT Smart Air Purifier for Home Large Room up to 1875 ft Vital 200S-P | For Quiet Bedroom at 27dB, AHAM VERIFIDE, Air Quality Monitor, HEPA Sleep Mode for Allergies, Pet Hair and dander, White",https://www.amazon.com/LEVOIT-Smart-Purifier-Large-200S-P/dp/B0BGPF71Q6/ref=sr_1_10?dib=eyJ2IjoiMSJ9.iRN2KUcEfkJl010XhUsHG4nXELp0QtiRZFd-W6tyFf9tSXIhVBKDAhQYT50fE2N8L6uXWTwz_0q4lL_jjHn7ZxsI5XTT_ybzbyyVXP_CcIRLEUan2CBMrKqEWLtQmK59E4d6tFPrODKbsP_wL4jZ2_JLcifJH0TdFFTLbstCMBxLh6SCKz3nnFxIYxhAuiIHaxkuMx1l3pKhasECpYypsPEfOxaGE4bOSGNZXWpcggkO07XAzVofxAdhvb__ttDlFuoO_kDpQ8o2m4ilyCcnms_oKG4shZit9AglYnQLBlg.dKzCue5vLD4NOdmSw_BnY9YWiSlT0oYRbc0lByKuFbg&dib_tag=se&keywords=smart+home+devices&qid=1786520557&sr=8-10,NA,NA,NA,https://m.media-amazon.com/images/I/710w2H0ip+L._AC_UL320_.jpg,B0BGPF71Q6
